How many hours on average do you currently review code per week?,"Do you expect to spend more, less, or same time for code review in five years (in comparison to today)?",What software artifacts do you review today?,What software artifacts do you anticipate to review in five years?,What major changes do you anticipate in code review in five years?,"Based on those changes, what implications for code review do you see?",Automated code review,Automated code generation,Unsupervised software engineering,Possible Quotes
4,About the same on code review,Documentation;Test code;Production code;Parameter/configuration files;,Production code;,,,FALSE,FALSE,FALSE,
8,Less time on code review,Test code;Production code;Documentation;Parameter/configuration files;,None;,,,FALSE,FALSE,FALSE,
1,About the same on code review,Documentation;Parameter/configuration files;,Parameter/configuration files;Production code;Documentation;GUI-based test code (end-to-end testing);,,,FALSE,FALSE,FALSE,
1,Less time on code review,Documentation;Production code;Parameter/configuration files;,Documentation;Production code;Parameter/configuration files;,AI automation,"More automation, less time on reviews",TRUE,FALSE,FALSE,
1,More time on code review,None;,Production code;Documentation;Parameter/configuration files;Test code;,,,FALSE,FALSE,FALSE,
1,Less time on code review,Production code;Documentation;Test code;Parameter/configuration files;,Documentation;Test code;Parameter/configuration files;Production code;,Automated merging,None,FALSE,FALSE,FALSE,
10,More time on code review,Test code;Production code;Documentation;Parameter/configuration files;GUI-based test code (end-to-end testing);,Production code;Test code;Documentation;GUI-based test code (end-to-end testing);Parameter/configuration files;,,,FALSE,FALSE,FALSE,
2,More time on code review,Production code;,Test code;Production code;,More AI Generated Tests,Higher Code Coverage. More Useless Tests.,FALSE,TRUE,FALSE,
1,Less time on code review,Parameter/configuration files;Production code;GUI-based test code (end-to-end testing);Test code;Documentation;,Production code;Documentation;,AI will take most of review tasks,AI will be the instance to approve code,TRUE,FALSE,FALSE,
4,Less time on code review,Parameter/configuration files;Documentation;GUI-based test code (end-to-end testing);Test code;,Documentation;Parameter/configuration files;Test code;,,,FALSE,FALSE,FALSE,
1,More time on code review,Documentation;,Documentation;,,,FALSE,FALSE,FALSE,
3,More time on code review,Production code;Documentation;,Production code;Documentation;,,,FALSE,FALSE,FALSE,
4,Less time on code review,Parameter/configuration files;,Parameter/configuration files;,,,FALSE,FALSE,FALSE,
2,More time on code review,Documentation;Production code;Test code;Parameter/configuration files;,Production code;Parameter/configuration files;Test code;Documentation;,More AI support,Focus more on architectural aspects instead of code style aspects,TRUE,FALSE,FALSE,
6,Less time on code review,Test code;Production code;Documentation;Parameter/configuration files;,Documentation;Production code;Test code;Parameter/configuration files;,"AI to do a pre-review, e.g., highlighting the important points or adding explanations",,TRUE,FALSE,FALSE,
4,About the same on code review,Parameter/configuration files;Production code;Test code;Documentation;,Documentation;Test code;Parameter/configuration files;Production code;,Bots will help with code review.,Time spent on code review will decrease. Code quality will be the same or better.,TRUE,FALSE,FALSE,
0,More time on code review,Documentation;,Documentation;Parameter/configuration files;,"Aside from AI related changes, I don't foresee other changes at the moment.",High trust in AI may reduce the spread of information through code reviews. If developers trust the AI more they will pay less attention to the content they are reviewing.,FALSE,FALSE,FALSE,
2,About the same on code review,Parameter/configuration files;Production code;Test code;Documentation;,Production code;Parameter/configuration files;,Code changes are happening more frequently. Support by tools has improved.,AI automated revieww will become standard to identify potential pitfalls automatically - probably before the human review happens.,TRUE,FALSE,FALSE,
,More time on code review,GUI-based test code (end-to-end testing);Parameter/configuration files;Test code;Documentation;Production code;,Documentation;GUI-based test code (end-to-end testing);Parameter/configuration files;Production code;Test code;,We need improve on how to improve collaboration with AI assistants,"- improvement of tools
- automation will take over some parts of code reviews and humans will focus on specific aspects",FALSE,FALSE,FALSE,
5,More time on code review,Parameter/configuration files;Documentation;Test code;Production code;,Test code;Production code;Documentation;Parameter/configuration files;,I expect a lot more review on PR's that do thing instructed to AI and the developer using the AI even not understanding what the AI did for him.,More review of concepts and how concepts get realized with the help of AI.,FALSE,TRUE,FALSE,
5,More time on code review,Production code;,Production code;Documentation;Test code;Parameter/configuration files;GUI-based test code (end-to-end testing);,We will have a lot of PRs and some instruments to speed up the process.,See above,TRUE,FALSE,FALSE,
2,More time on code review,Test code;Parameter/configuration files;Documentation;Production code;,None;,"Relying more on AI, not always for the greater good.",More shallow/noisy results,TRUE,FALSE,FALSE,
3,Less time on code review,Documentation;Test code;Production code;Parameter/configuration files;,Production code;Documentation;,The tools will advise about possible problems or issues in other points of the code that was not changed.,,FALSE,FALSE,FALSE,
0.5,About the same on code review,Production code;,Production code;,"Code reviews for generated code by AI might be less in future if reliable enough, or even more code reviews are needed to verify that the generated code is correct; maybe code reviews are not done by humans anymore so often only for crucial changes",,FALSE,TRUE,FALSE,
1,More time on code review,Documentation;Parameter/configuration files;GUI-based test code (end-to-end testing);,Documentation;Production code;Parameter/configuration files;,KI generated coding,Logical understanding and questioning/challinging gets more important.,FALSE,TRUE,FALSE,
5,More time on code review,Parameter/configuration files;Production code;Test code;,Documentation;GUI-based test code (end-to-end testing);Test code;Parameter/configuration files;Production code;,Including AI into code review process,I think general understanding of the code among developers will be diminished as AI tools will become more and more prevalent and will replace humans in the process. On the other hand the general code quality may improve as those tools will get better over time and will catch most of bugs,TRUE,FALSE,FALSE,
8,Less time on code review,Production code;Test code;,Documentation;Parameter/configuration files;Production code;Test code;,,,FALSE,FALSE,FALSE,
